First Normal Date	Last Normal Date	Log Count	Risk Based Priority (RBP)	Log Source Entity	Log Source Type	Classification	Common Event	Direction	Zone (Origin)	Zone (Impacted)	Entity (Origin)	Entity (Impacted)	Location (Origin)	Location (Impacted)	Network (Origin)	Network (Impacted)	Host (Origin)	Host (Impacted)	Known Host (Origin)	Known Host (Impacted)	IP Address (Origin)	IP Address (Impacted)	NAT IP Address (Origin)	NAT IP Address (Impacted)	MAC Address (Origin)	MAC Address (Impacted)	Interface (Origin)	Interface (Impacted)	Application	TCP/UDP Port (Origin)	TCP/UDP Port (Impacted)	NAT TCP/UDP Port (Origin)	NAT TCP/UDP Port (Impacted)	Protocol	Vendor Message ID	User (Origin)	User (Impacted)	Group	Domain Impacted	Sender	Recipient	Object	Object Name	URL	Command	Process Name	Process ID	Severity	Version	Host (Impacted) KBytes Rcvd	Host (Impacted) KBytes Sent	Host (Impacted) Packets Rcvd	Host (Impacted) Packets Sent	Reason	Result	Policy	Object Type	Hash	Response Code	Action	Session Type	CVE	Threat ID	Status	Serial Number	Parent Process Path	Parent Process Name	Parent Process ID	User Agent	Vendor Info	Threat Name	Domain Origin	Country (Origin)	Country (Impacted)	Region (Origin)	Region (Impacted)	HostName (Origin)	HostName (Impacted)	Known Application
2022-12-09 04:12:49 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United Kingdom: London: London	VM Network		10.1.1.165	185.40.232.170			10.1.1.165	185.40.232.170	217.28.52.97	0.0.0.0			eth1.422		443\TCP	62357	443	10001	0	TCP	vpn-1 & firewall-1	janis cimins (janis.cimins)																								accept													Latvia	United Kingdom	Latvia: Riga	United Kingdom: London			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: California: Mountain View	VM Network		10.1.1.165	172.217.21.170			10.1.1.165	172.217.21.170	217.28.52.97	0.0.0.0			eth1		443\UDP	55399	443	10033	0	UDP	vpn-1 & firewall-1	janis cimins (janis.cimins)																								accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	14	Security	Syslog - Check Point Log Exporter	Network Deny	Traffic Denied by Network Firewall	External	External	External	Global Entity	Global Entity	Netherlands: Noord-Holland: Amsterdam	Latvia: Riga: Riga			5.39.216.130	217.28.52.103			5.39.216.130	217.28.52.103					eth1.422		37215\TCP		37215			TCP	vpn-1 & firewall-1																									drop													Netherlands	Latvia	Netherlands: Noord-Holland	Latvia: Riga			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: California: Mountain View	VM Network		10.1.1.135	142.250.74.100			10.1.1.135	142.250.74.100	217.28.52.97	0.0.0.0			eth1		443\UDP	58385	443	10084	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Washington: Redmond	VM Network		10.1.1.11	64.4.48.5			10.1.1.11	64.4.48.5	217.28.52.100	0.0.0.0			eth1		53\UDP	53799	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Washington			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	19	Security	Syslog - Check Point Log Exporter	Network Deny	Traffic Denied by Network Firewall	Outbound	Internal	External	VirtualM	Global Entity	Latvia: Riga: Riga	United States: California: Palo Alto	VM Network		vc.internal *	208.91.0.89	vc.internal		10.1.1.23	208.91.0.89					eth1		443\TCP	53824	443			TCP	vpn-1 & firewall-1																									drop													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	Ireland: Baile Átha Cliath: Dublin	VM Network		10.1.1.212	188.125.72.139			10.1.1.212	188.125.72.139	217.28.52.97	0.0.0.0			eth1.422		443\TCP	54872	443	10000	0	TCP	vpn-1 & firewall-1	mihails akulenkovs (mihails)																								accept													Latvia	Ireland	Latvia: Riga	Ireland: Baile Átha Cliath			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	50257	53	16027	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	50026	53	17070	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Massachusetts: Cambridge	VM Network		10.1.1.11	184.85.248.66			10.1.1.11	184.85.248.66	217.28.52.100	0.0.0.0			eth1		53\UDP	57661	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Massachusetts			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	Security	Global Entity		United States: California: Mountain View			10.29.133.2	8.8.8.8			10.29.133.2	8.8.8.8	217.28.52.97	0.0.0.0			eth1		53\UDP	52844	53	53645	0	UDP	vpn-1 & firewall-1																									accept														United States		United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	50102	53	21531	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Washington: Redmond	VM Network		10.1.1.11	13.107.160.201			10.1.1.11	13.107.160.201	217.28.52.100	0.0.0.0			eth1		53\UDP	43799	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Washington			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	Security	Global Entity		United States: California: Mountain View			10.29.133.2	8.8.8.8			10.29.133.2	8.8.8.8	217.28.52.97	0.0.0.0			eth1		53\UDP	53585	53	12993	0	UDP	vpn-1 & firewall-1																									accept														United States		United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	49227	53	47524	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	49395	53	55394	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222					eth1		53\UDP	49336	53			UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	65267	53	26716	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	LogR	Global Entity	Latvia: Riga: Riga	United States: Washington: Redmond	VM Network		logrhythm *	13.107.21.239	logrhythm		10.1.1.46	13.107.21.239	217.28.52.97	0.0.0.0			eth1		443\TCP	61570	443	10000	0	TCP	vpn-1 & firewall-1	administrator																								accept													Latvia	United States	Latvia: Riga	United States: Washington			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: California: Mountain View	VM Network		10.1.1.17	142.250.74.35			10.1.1.17	142.250.74.35	217.28.52.97	0.0.0.0			eth1		443\UDP	56905	443	21986	0	UDP	vpn-1 & firewall-1	zinaida kravale (zinaida.kravale)																								accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:13:02 PM	2022-12-09 04:13:02 PM	1	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	51001	53	10551	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:13 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	51063	53	27182	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:11:42 PM	2022-12-09 04:13:02 PM	55	17	VirtualM	Syslog - VMWare vCenter Server	Activity	HTTP Connect	Local	Internal	Internal	VirtualM	VirtualM	Latvia: Riga: Riga	Latvia: Riga: Riga			vc.internal *	vc.internal *	vc.internal	vc.internal	127.0.0.1	127.0.0.1							1080\?	43044	1080														post	envoy-access		info											200					via_upstream									Latvia	Latvia	Latvia: Riga	Latvia: Riga	vc		
2022-12-09 04:11:42 PM	2022-12-09 04:13:02 PM	5	17	VirtualM	Syslog - VMWare vCenter Server	Activity	HTTP Connect	Local	Internal	Internal	VirtualM	VirtualM	Latvia: Riga: Riga	Latvia: Riga: Riga			vc.internal *	vc.internal *	vc.internal	vc.internal	127.0.0.1	127.0.0.1							1080\?	39606	1080														post	envoy-access		info											200					via_upstream									Latvia	Latvia	Latvia: Riga	Latvia: Riga	vc		
2022-12-09 04:12:02 PM	2022-12-09 04:13:02 PM	2	17	VirtualM	Syslog - VMWare vCenter Server	Activity	HTTP Connect	Local	Internal	Internal	VirtualM	VirtualM	Latvia: Riga: Riga	Latvia: Riga: Riga			vc.internal *	vc.internal *	vc.internal	vc.internal	127.0.0.1	127.0.0.1							443\?	46320	443														post	envoy-access		info											200					via_upstream									Latvia	Latvia	Latvia: Riga	Latvia: Riga	vc		
2022-12-09 04:11:35 PM	2022-12-09 04:13:02 PM	4	0	DC	MS Windows Event Logging XML - Security	Authentication Success	Computer Logoff		Unknown	Unknown	DC	DC						dc2.internal																	4634	dc2$												information							audit success						3									logoff		internal						dc2.internal	
2022-12-09 04:11:34 PM	2022-12-09 04:13:01 PM	109	2	VirtualM	Syslog - VMWare vCenter Server	Information	General Process Information		Unknown	Unknown	VirtualM	VirtualM																																		observability-main	149	info																		periodicscheduler.java													
2022-12-09 04:11:34 PM	2022-12-09 04:13:01 PM	109	2	VirtualM	Syslog - VMWare vCenter Server	Information	General Process Information		Unknown	Unknown	VirtualM	VirtualM																																		observability-main	107	info																		periodicscheduler.java													
2022-12-09 04:11:45 PM	2022-12-09 04:13:01 PM	12	2	VirtualM	Syslog - VMWare vCenter Server	Information	General Process Information		Unknown	Unknown	VirtualM	VirtualM																																		eam-main		info																															
2022-12-09 04:12:54 PM	2022-12-09 04:13:01 PM	4	2	VirtualM	Syslog - VMWare vCenter Server	Information	General Process Information		Unknown	Unknown	VirtualM	VirtualM																																		vpxd-main	6101	info																															
2022-12-09 04:11:51 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	50698	53	12935	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Massachusetts: Cambridge	VM Network		10.1.1.11	184.26.160.65			10.1.1.11	184.26.160.65	217.28.52.100	0.0.0.0			eth1		53\UDP	17538	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Massachusetts			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Washington: Redmond	VM Network		10.1.1.11	13.107.206.32			10.1.1.11	13.107.206.32	217.28.52.100	0.0.0.0			eth1		53\UDP	47036	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Washington			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Washington: Redmond	VM Network		10.1.1.11	150.171.11.38			10.1.1.11	150.171.11.38	217.28.52.100	0.0.0.0			eth1		53\UDP	19030	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Washington			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	Finland: Helsinki: Helsinki	VM Network		10.1.1.11	62.115.253.68			10.1.1.11	62.115.253.68	217.28.52.100	0.0.0.0			eth1		53\UDP	3721	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	Finland	Latvia: Riga	Finland: Helsinki			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	49389	53	45765	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	51287	53	19540	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	Hong Kong: Hong Kong	VM Network		10.1.1.11	104.47.124.8			10.1.1.11	104.47.124.8	217.28.52.100	0.0.0.0			eth1		53\UDP	31680	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	Hong Kong	Latvia: Riga				
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Washington: Redmond	VM Network		10.1.1.11	150.171.10.38			10.1.1.11	150.171.10.38	217.28.52.100	0.0.0.0			eth1		53\UDP	51463	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Washington			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Washington: Redmond	VM Network		10.1.1.11	13.107.24.201			10.1.1.11	13.107.24.201	217.28.52.100	0.0.0.0			eth1		53\UDP	29977	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Washington			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Washington: Redmond	VM Network		10.1.1.11	40.90.4.5			10.1.1.11	40.90.4.5	217.28.52.100	0.0.0.0			eth1		53\UDP	8400	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Washington			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Washington: Redmond	VM Network		10.1.1.11	64.4.48.5			10.1.1.11	64.4.48.5	217.28.52.100	0.0.0.0			eth1		53\UDP	11778	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Washington			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	50364	53	42912	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	50749	53	20370	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:21 PM	2022-12-09 04:13:01 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: Washington: Redmond	VM Network		10.1.1.11	40.90.4.5			10.1.1.11	40.90.4.5	217.28.52.100	0.0.0.0			eth1		53\UDP	9199	53	0	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: Washington			
